# started on Sat Nov 28 19:14:50 2020

     0.249100985,313019641,,CPU_CLK_UNHALTED.THREAD_P,52580159,44.43,,
     0.249100985,752126410,,INST_RETIRED.ANY,65249491,55.13,,
     0.249100985,303728,,icache.misses,68292354,57.70,,
     0.249100985,31676,,dtlb_load_misses.miss_causes_a_walk,70814365,59.83,,
     0.249100985,20508,,itlb_misses.miss_causes_a_walk,70371112,59.46,,
     0.249100985,777283,,br_misp_exec.all_branches,65778945,55.58,,
     0.249100985,6406464,,l1d.replacement,50069523,42.30,,
     0.249100985,394895,,L2_RQSTS.MISS,47538235,40.16,,
     0.249100985,34154,,LONGEST_LAT_CACHE.MISS,47984103,40.54,,
     0.498316468,666135891,,CPU_CLK_UNHALTED.THREAD_P,111934819,44.93,,
     0.498316468,1696199466,,INST_RETIRED.ANY,139925044,56.17,,
     0.498316468,154204,,icache.misses,139178341,55.87,,
     0.498316468,15565,,dtlb_load_misses.miss_causes_a_walk,137138994,55.05,,
     0.498316468,1362,,itlb_misses.miss_causes_a_walk,137138896,55.05,,
     0.498316468,1491256,,br_misp_exec.all_branches,137169276,55.07,,
     0.498316468,16643545,,l1d.replacement,109914371,44.12,,
     0.498316468,59487,,L2_RQSTS.MISS,111965981,44.95,,
     0.498316468,1859,,LONGEST_LAT_CACHE.MISS,111965944,44.95,,
     0.747494458,669280449,,CPU_CLK_UNHALTED.THREAD_P,111966115,44.95,,
     0.747494458,1715539488,,INST_RETIRED.ANY,139957822,56.19,,
     0.747494458,128260,,icache.misses,137132324,55.05,,
     0.747494458,13109,,dtlb_load_misses.miss_causes_a_walk,137132423,55.05,,
     0.747494458,1031,,itlb_misses.miss_causes_a_walk,137132096,55.05,,
     0.747494458,1412974,,br_misp_exec.all_branches,137131553,55.05,,
     0.747494458,16777749,,l1d.replacement,111966496,44.95,,
     0.747494458,49098,,L2_RQSTS.MISS,111966017,44.95,,
     0.747494458,117,,LONGEST_LAT_CACHE.MISS,111966248,44.95,,
     0.996625889,625753305,,CPU_CLK_UNHALTED.THREAD_P,111960356,44.96,,
     0.996625889,1496516424,,INST_RETIRED.ANY,137502132,55.21,,
     0.996625889,223751,,icache.misses,137076053,55.04,,
     0.996625889,14081,,dtlb_load_misses.miss_causes_a_walk,137077844,55.04,,
     0.996625889,1346,,itlb_misses.miss_causes_a_walk,137079939,55.04,,
     0.996625889,1347976,,br_misp_exec.all_branches,137076932,55.04,,
     0.996625889,15143405,,l1d.replacement,111957823,44.96,,
     0.996625889,168752,,L2_RQSTS.MISS,111957055,44.96,,
     0.996625889,12201,,LONGEST_LAT_CACHE.MISS,111955963,44.96,,
     1.245839992,650852568,,CPU_CLK_UNHALTED.THREAD_P,110735091,44.45,,
     1.245839992,1418189158,,INST_RETIRED.ANY,137177828,55.06,,
     1.245839992,452199,,icache.misses,137172616,55.06,,
     1.245839992,12244,,dtlb_load_misses.miss_causes_a_walk,137169396,55.06,,
     1.245839992,1058,,itlb_misses.miss_causes_a_walk,137158672,55.06,,
     1.245839992,1211995,,br_misp_exec.all_branches,138372823,55.54,,
     1.245839992,16293202,,l1d.replacement,111954183,44.94,,
     1.245839992,206217,,L2_RQSTS.MISS,111956350,44.94,,
     1.245839992,18963,,LONGEST_LAT_CACHE.MISS,111966183,44.94,,
     1.495079475,668230297,,CPU_CLK_UNHALTED.THREAD_P,109214820,43.83,,
     1.495079475,1704448943,,INST_RETIRED.ANY,137196426,55.06,,
     1.495079475,126665,,icache.misses,137195571,55.06,,
     1.495079475,11810,,dtlb_load_misses.miss_causes_a_walk,137189327,55.06,,
     1.495079475,1033,,itlb_misses.miss_causes_a_walk,137188707,55.06,,
     1.495079475,1489703,,br_misp_exec.all_branches,139943571,56.17,,
     1.495079475,16663100,,l1d.replacement,111960404,44.94,,
     1.495079475,56365,,L2_RQSTS.MISS,111966187,44.94,,
     1.495079475,111,,LONGEST_LAT_CACHE.MISS,111966438,44.94,,
     1.744251697,665512972,,CPU_CLK_UNHALTED.THREAD_P,109139188,43.81,,
     1.744251697,1701517345,,INST_RETIRED.ANY,137132163,55.05,,
     1.744251697,141531,,icache.misses,137132387,55.05,,
     1.744251697,19888,,dtlb_load_misses.miss_causes_a_walk,137134271,55.05,,
     1.744251697,1397,,itlb_misses.miss_causes_a_walk,139939221,56.18,,
     1.744251697,1451196,,br_misp_exec.all_branches,139957901,56.19,,
     1.744251697,16673123,,l1d.replacement,111966754,44.95,,
     1.744251697,82551,,L2_RQSTS.MISS,111965755,44.95,,
     1.744251697,2028,,LONGEST_LAT_CACHE.MISS,109168244,43.82,,
     1.993405540,664583781,,CPU_CLK_UNHALTED.THREAD_P,109122071,43.81,,
     1.993405540,1699619614,,INST_RETIRED.ANY,137104635,55.05,,
     1.993405540,149825,,icache.misses,137105925,55.05,,
     1.993405540,12740,,dtlb_load_misses.miss_causes_a_walk,138756957,55.71,,
     1.993405540,1183,,itlb_misses.miss_causes_a_walk,139948535,56.19,,
     1.993405540,1494895,,br_misp_exec.all_branches,139948919,56.19,,
     1.993405540,16591679,,l1d.replacement,111965472,44.95,,
     1.993405540,48163,,L2_RQSTS.MISS,110320773,44.29,,
     1.993405540,2757,,LONGEST_LAT_CACHE.MISS,109122230,43.81,,
     2.242572319,614947607,,CPU_CLK_UNHALTED.THREAD_P,109134125,43.81,,
     2.242572319,1439685257,,INST_RETIRED.ANY,137127502,55.05,,
     2.242572319,454711,,icache.misses,137614506,55.25,,
     2.242572319,8275,,dtlb_load_misses.miss_causes_a_walk,139958732,56.19,,
