14: BasicTest1.mySum: in06: i0: [0, 0]
14: BasicTest1.mySum: in06: i1: [11, +inf]
15: BasicTest1.mySum: in00: i0: [-inf, +inf]
15: BasicTest1.mySum: in00: i1: [-inf, +inf]
15: BasicTest1.mySum: in01: i0: [0, 0]
15: BasicTest1.mySum: in01: i1: [-inf, +inf]
15: BasicTest1.mySum: in02: i0: [0, +inf]
15: BasicTest1.mySum: in02: i1: [0, +inf]
15: BasicTest1.mySum: in03: i0: [0, 0]
15: BasicTest1.mySum: in03: i1: [0, 10]
15: BasicTest1.mySum: in04: i0: [0, 10]
15: BasicTest1.mySum: in04: i1: [0, 10]
15: BasicTest1.mySum: in05: i0: [0, 10]
15: BasicTest1.mySum: in05: i1: [1, 11]
15: BasicTest1.mySum: in06: i0: [0, 0]
15: BasicTest1.mySum: in06: i1: [11, +inf]
16: BasicTest1.mySum: in00: i0: [-inf, +inf]
16: BasicTest1.mySum: in00: i1: [-inf, +inf]
16: BasicTest1.mySum: in01: i0: [0, 0]
16: BasicTest1.mySum: in01: i1: [-inf, +inf]
16: BasicTest1.mySum: in02: i0: [0, +inf]
16: BasicTest1.mySum: in02: i1: [0, +inf]
16: BasicTest1.mySum: in03: i0: [0, +inf]
16: BasicTest1.mySum: in03: i1: [0, 10]
16: BasicTest1.mySum: in04: i0: [0, 10]
16: BasicTest1.mySum: in04: i1: [0, 10]
16: BasicTest1.mySum: in05: i0: [0, 10]
16: BasicTest1.mySum: in05: i1: [1, 11]
16: BasicTest1.mySum: in06: i0: [0, +inf]
16: BasicTest1.mySum: in06: i1: [11, +inf]
17: BasicTest1.mySum: in00: i0: [-inf, +inf]
17: BasicTest1.mySum: in00: i1: [-inf, +inf]
17: BasicTest1.mySum: in01: i0: [0, 0]
17: BasicTest1.mySum: in01: i1: [-inf, +inf]
17: BasicTest1.mySum: in02: i0: [0, +inf]
17: BasicTest1.mySum: in02: i1: [0, +inf]
17: BasicTest1.mySum: in03: i0: [0, +inf]
17: BasicTest1.mySum: in03: i1: [0, 10]
17: BasicTest1.mySum: in04: i0: [0, +inf]
17: BasicTest1.mySum: in04: i1: [0, 10]
17: BasicTest1.mySum: in05: i0: [0, 10]
17: BasicTest1.mySum: in05: i1: [1, 11]
17: BasicTest1.mySum: in06: i0: [0, +inf]
17: BasicTest1.mySum: in06: i1: [11, +inf]
18: BasicTest1.mySum: in00: i0: [-inf, +inf]
18: BasicTest1.mySum: in00: i1: [-inf, +inf]
18: BasicTest1.mySum: in01: i0: [0, 0]
18: BasicTest1.mySum: in01: i1: [-inf, +inf]
18: BasicTest1.mySum: in02: i0: [0, +inf]
18: BasicTest1.mySum: in02: i1: [0, +inf]
18: BasicTest1.mySum: in03: i0: [0, +inf]
18: BasicTest1.mySum: in03: i1: [0, 10]
18: BasicTest1.mySum: in04: i0: [0, +inf]
18: BasicTest1.mySum: in04: i1: [0, 10]
18: BasicTest1.mySum: in05: i0: [0, 10]
18: BasicTest1.mySum: in05: i1: [1, 11]
18: BasicTest1.mySum: in06: i0: [0, +inf]
18: BasicTest1.mySum: in06: i1: [11, +inf]
19: BasicTest1.mySum: in00: i0: [-inf, +inf]
19: BasicTest1.mySum: in00: i1: [-inf, +inf]
19: BasicTest1.mySum: in01: i0: [0, 0]
19: BasicTest1.mySum: in01: i1: [-inf, +inf]
19: BasicTest1.mySum: in02: i0: [0, +inf]
19: BasicTest1.mySum: in02: i1: [0, +inf]
19: BasicTest1.mySum: in03: i0: [0, +inf]
19: BasicTest1.mySum: in03: i1: [0, 10]
19: BasicTest1.mySum: in04: i0: [0, +inf]
19: BasicTest1.mySum: in04: i1: [0, 10]
19: BasicTest1.mySum: in05: i0: [0, +inf]
19: BasicTest1.mySum: in05: i1: [1, 11]
19: BasicTest1.mySum: in06: i0: [0, +inf]
19: BasicTest1.mySum: in06: i1: [11, +inf]
20: BasicTest1.mySum: in00: i0: [-inf, +inf]
20: BasicTest1.mySum: in00: i1: [-inf, +inf]
20: BasicTest1.mySum: in01: i0: [0, 0]
20: BasicTest1.mySum: in01: i1: [-inf, +inf]
20: BasicTest1.mySum: in02: i0: [0, +inf]
20: BasicTest1.mySum: in02: i1: [0, +inf]
20: BasicTest1.mySum: in03: i0: [0, +inf]
20: BasicTest1.mySum: in03: i1: [0, 10]
20: BasicTest1.mySum: in04: i0: [0, +inf]
20: BasicTest1.mySum: in04: i1: [0, 10]
20: BasicTest1.mySum: in05: i0: [0, +inf]
20: BasicTest1.mySum: in05: i1: [1, 11]
20: BasicTest1.mySum: in06: i0: [0, +inf]
20: BasicTest1.mySum: in06: i1: [11, +inf]
